id_str	TWEET	LABEL	preprocessing_A
1099284472267182080	RT @EFEnoticias: Arrimadas se presenta a las generales   sacar a Sánchez de Moncloa  #EFEURGENTE	AGAINST	arrimar presentar general sacar sanchez moncloa #efeurgente
1102569937447673856	@gabrielrufian Derecho a la autodeterminación - Golpe de estado  Presos políticos - Golpistas  Merienda con los colegas - Rebelión  15 meses, no hay plan B - Hasta pudrirme de pasta   De nada.	AGAINST	derecho autodeterminacion golpe estar preso politicos golpista merendar colega rebelion mes plan hasta pudrirme pastar nada
1097576883464609793	#URGENTE ???? #Cataluña: Los CDR atacan con pintura el cuartel de la @guardiacivil  Vic La kale borroca catalana actuando con total impunidad. #elecciones2019votoderechas #jusapol @jusapol @AFAPOL_ #EquiparacionYa  https://t.co/eHmn0ICRKt	AGAINST	#urgente #cataluña atacar pintura cuartel kale borroca catalán actuar impunidad #eleccionesvotoderechas #jusapol #equiparacionya
1097475970355904514	Cansado de los eslóganes de izquierdas y derechas. Quiero un país que progrese, que acabe con los chiringuitos, los privilegios políticos, las condonaciones bancarias a los partidos que olvidan a las personas ¿es izquierdas o es derechas? Sinceramente me da igual, quiero valores https://t.co/j1Ztzi1GC2	AGAINST	cansar eslogan izquierdo derecho querer progresar acabar chiringuito privilegio politicos condonación bancario partido olvidar persona izquierdo derecho sinceramente igual querer valorar
1093133896936505345	Le recuerdo a @EnricJuliana que en Cataluña los no indepes no nos podemos manifestar!!! #RelatorARV	NEUTRAL	recordar cataluña indepes manifestar #relatorarv
1099380475876069379	RT @agdjunt: Cita de Machado que no verás reproducir en los homenajes que ciertos políticos le están haciendo https://t.co/efYA4MjgNd	AGAINST	citar machar vera reproducir homenaje politicos
1103731753729036289	Me parece muy raro que la gallifanta y toda la patulea indepe no hayan hecho mención alguna a las declaraciones de los testigos que comprometen a los golpistas. Van a tener que tomar Almax para digerir bien la realidad   #JuicioProces	AGAINST	gallifanta patulea indepe mencion declaración testigo comprometer golpista tomar almax digerir realidad #juicioproces
1099293470487908350	Así es Inés Arrimadas: su carrera en 10 vídeos https://t.co/AgHYYeboN4	NEUTRAL	ines arrimar carrera videos
1103003604191989760	#1O Qué hecho delictivo o indicio de delito es que a #Trapero no le gustara el nombramiento del ahora coronel Pérez? Llevamos media hora con esta absurda cantinela	FAVOR	delictivo indiciar delito #trapero gustar nombramiento coronel perez llevar medio hora absurdo cantinela
1102981063507349504	RT @omundodaboIa: Melhor lateral direito do Mundo!🔥🔥 https://t.co/zuVcUuTOCg	NEUTRAL	melhor lateral direito mundo
1098834615484203008	🔴Os contamos un hecho lamentable y es como unos radicales separatistas han acosado a un mujer que se ha negado a cerrar su negocio en Barcelona. Lo podéis ver 👇 https://t.co/qZZu79VYad	AGAINST	contar lamentable radical separatista acosar mujer negar cerrar negociar barcelona podeis
1095987315930001408	? #EnDirecto @rogertorrent cree que la intervención de @junqueras se leerá  en los libros de historia  #JuicioProces https://t.co/xIuUKKWTze https://t.co/FuQOlnAyQz	AGAINST	#endirecto creer intervencion leera libro historia #juicioproces
1103584737166278657	RT @PJuvencioC: @lopez_vallet Hitler hizo exactamente lo que los indepes, pervertir la ley mediante el fraude para acabar con todos los con…	AGAINST	hitler exactamente indepes pervertir fraude acabar
1093270765833736192	@ErnestoEkaizer Dígale al imbécil de Alfonso Guerra que en su transición había un ejército que ya hizo de “relator” en la redacción de la constitución. Llámale relator, llámale amenazador.	FAVOR	digale imbecil alfonso guerra transicion ejercitar relator redaccion constitucion llamale relator llamale amenazador
1093207322019708933	@RupertCocke @sarcasmodigame @MariadelMarMen9 Estoy de acuerdo, pero es que no se ha empezado ni a debatir… Para ir de la A a Z, lo importantes es pasar por B C D E…, es decir, introduciendo la democracia directa poco a poco... A TODOS los políticos (incluidos indepes) les interesa mantener la Partidocracia.	FAVOR	estar acordar empezar debatir para importante pasar decir introducir democracia directo poco todo politicos incluir indepes interesar mantener partidocracia
1097816125608468480	Aquí tenéis la miga del independentismo. Alguien q llama invasores a quienes han sido elegidos democráticamente (no a dedo como los presidents) Alguien cuyo argumento es el insulto, alguien q dice q ¡Cat es una nación! ¡Y anterior a España! Discípulo d Cucurull y d la estulticia https://t.co/2xVsKf00EZ	AGAINST	aqui migar independentismo alguien llamar invasor elegir democraticamente dedo presidents alguien argumentar insultar nacion españa discipulo cucurull estulticia
